team,driver_name,event_name,livery_name,year,manufacturer,sku_1_18,sku_1_43,notes,verification_status
Mercedes,Nico Rosberg,Season,W07,2016,Minichamps,110160006,,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Mercedes,Lewis Hamilton,Season,W07,2016,Minichamps,110160044,,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Williams,Felipe Massa,Season,FW38,2016,Minichamps,117160019,,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Williams,Valtteri Bottas,Season,FW38,2016,Minichamps,117160077,,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Toro Rosso,Max Verstappen,Season,STR11,2016,Minichamps,117160033,,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Toro Rosso,Carlos Sainz,Season,STR11,2016,Minichamps,117160055,,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
McLaren,Jenson Button,Season,MP4-31,2016,Minichamps,537161822,,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
McLaren,Fernando Alonso,Season,MP4-31,2016,Minichamps,537161814,,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Mercedes,Nico Rosberg,Australian GP,W07,2016,Minichamps,,410160006,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Mercedes,Lewis Hamilton,Australian GP,W07,2016,Minichamps,,410160044,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Red Bull,Daniel Ricciardo,Season,RB12,2016,Minichamps,,417160003,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Red Bull,Daniil Kvyat,Season,RB12,2016,Minichamps,,417160026,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Haas,Romain Grosjean,Season,VF-16,2016,Minichamps,,417160008,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Haas,Esteban Gutierrez,Season,VF-16,2016,Minichamps,,417160021,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Sauber,Marcus Ericsson,Season,C35,2016,Minichamps,,417160009,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
