team,driver_name,event_name,livery_name,year,manufacturer,sku_1_18,sku_1_43,notes,verification_status
Alfa Romeo,Kimi Raikkonen,Austrian GP,C39,2020,Minichamps,110200107,,,SINGLE SOURCE — only Anthony's lists this; SKU is unconfirmed and the car is inferred from one title
Alfa Romeo,Kimi Raikkonen,Pre-season Testing (Fiorano),C39,2020,Spark,,S6455,,SINGLE SOURCE — only Stone Model lists this; SKU is unconfirmed and the car is inferred from one title
McLaren,Carlos Sainz,Austrian GP,MCL35,2020,Minichamps,M530201955,,,SINGLE SOURCE — only Anthony's lists this; SKU is unconfirmed and the car is inferred from one title
McLaren,Lando Norris,Austrian GP,MCL35,2020,Minichamps,M530201904,,1st Career Podium 1:18 MINICHAMPS Gift Box,SINGLE SOURCE — only Anthony's lists this; SKU is unconfirmed and the car is inferred from one title
Mercedes,Lewis Hamilton,British GP,W11,2020,Minichamps,113200444,413200444,World Champion Mercedes F1 W11 #44 Lewis Hamilton British GP 1:43 MINICHAMPS; World Champion Mercedes F1 W11 #44 Lewis Hamilton British GP 1:18 MINICHAMPS; WINNER BRITISH GP 2020,SINGLE SOURCE — only Stone Model lists this; SKU is unconfirmed and the car is inferred from one title
Mercedes,Lewis Hamilton,Pre-season Testing (Barcelona),W11,2020,Spark,18SP271,SP575,World Champion Mercedes F1 W11 #44 Lewis Hamilton Barcelona Test 1:18 Spark 18SP271; World Champion 1:43 Spark Special Edition; World Champion Mercedes F1 W11 #44 Lewis Hamilton Barcelona Test 1:18 Spark 18S473S,SINGLE SOURCE — only Stone Model lists this; SKU is unconfirmed and the car is inferred from one title
Red Bull Racing,Max Verstappen,Abu Dhabi GP,RB16,2020,Minichamps,MAXABU2018,410201733,Winner 1:18 MINICHAMPS with Pit Board,"SINGLE SOURCE — only Stone Model, Yuui lists this; SKU is unconfirmed and the car is inferred from one title"
Red Bull Racing,Max Verstappen,Hungarian GP,RB16,2020,Spark,,GWRB16,,SINGLE SOURCE — only Stone Model lists this; SKU is unconfirmed and the car is inferred from one title
Scuderia Ferrari,Sebastian Vettel,Turkish GP,SF1000,2020,Looksmart,LS18F1033,,Podium with Ferrari Looksmart 1:18,SINGLE SOURCE — only Stone Model lists this; SKU is unconfirmed and the car is inferred from one title
Williams,George Russell,Hungarian GP,FW43,2020,Minichamps,,417200163,,SINGLE SOURCE — only Stone Model lists this; SKU is unconfirmed and the car is inferred from one title
Williams,Nicholas Latifi,Hungarian GP,FW43,2020,Minichamps,,417200106,,SINGLE SOURCE — only Stone Model lists this; SKU is unconfirmed and the car is inferred from one title
