team,driver_name,event_name,livery_name,year,manufacturer,sku_1_18,sku_1_43,notes,verification_status
Ferrari,Charles Leclerc,Bahrain GP,SF21,2021,Looksmart,,lsf1035,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Ferrari,Carlos Sainz,Bahrain GP,SF21,2021,Looksmart,,lsf1036,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Ferrari,Charles Leclerc,Bahrain GP,SF21,2021,Looksmart,ls18f1035,,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Ferrari,Carlos Sainz,Bahrain GP,SF21,2021,Looksmart,ls18f1036,,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Alfa Romeo,Robert Kubica,Season,C41,2021,Minichamps,,417219988,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Ferrari,Charles Leclerc,Season,SF21,2021,Bburago,16809l,,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Ferrari,Carlos Sainz,Season,SF21,2021,Bburago,16809s,,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Alfa Romeo,Kimi Raikkonen,Bahrain GP,C41,2021,Minichamps,117210107,,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Alfa Romeo,Antonio Giovinazzi,Bahrain GP,C41,2021,Minichamps,110210199,,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
McLaren,Daniel Ricciardo,Bahrain GP,MCL35M,2021,Minichamps,530211803,,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
McLaren,Lando Norris,Bahrain GP,MCL35M,2021,Minichamps,530211804,,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Mercedes,Lewis Hamilton,Bahrain GP,W12,2021,Minichamps,110210144,,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Mercedes,Valtteri Bottas,Bahrain GP,W12,2021,Minichamps,110210177,,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Red Bull,Sergio Perez,Bahrain GP,RB16B,2021,Minichamps,110210111,,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Red Bull,Max Verstappen,Bahrain GP,RB16B,2021,Minichamps,110210133,,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Haas,Nikita Mazepin,Bahrain GP,VF-21,2021,Minichamps,110210109,,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Haas,Mick Schumacher,Bahrain GP,VF-21,2021,Minichamps,110210147,,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
AlphaTauri,Yuki Tsunoda,Bahrain GP,AT02,2021,Minichamps,117210122,,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
AlphaTauri,Pierre Gasly,Bahrain GP,AT02,2021,Minichamps,117210110,,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Mercedes,Lewis Hamilton,Bahrain GP,W12,2021,Minichamps,,410210144,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Mercedes,Valtteri Bottas,Bahrain GP,W12,2021,Minichamps,,410210177,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Red Bull,Sergio Perez,Emilia Romagna GP,RB16B,2021,Minichamps,,410210111,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Red Bull,Max Verstappen,Emilia Romagna GP,RB16B,2021,Minichamps,,410210133,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Alfa Romeo,Kimi Raikkonen,Bahrain GP,C41,2021,Minichamps,,417210107,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
